NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	
N1	0.00119651	0.00246133	0.00744765	0.024524	0.0706693	0.157682	0.249007	0.255872	0.159743	0.0579532	0.0119532	0.0013947	9.26618e-005	3.55477e-006	8.02194e-008	1.08771e-009	9.06282e-012	6.08691e-017	3.53204e-018	1.66118e-019	6.39823e-021	2.03804e-022	5.41856e-024	1.21294e-025	2.30464e-027	3.74525e-029	5.24271e-031	6.36378e-033	6.73996e-035	6.26475e-037	5.13826e-039	3.73769e-041	2.42289e-043	1.40587e-045	7.33267e-048	3.45134e-050	1.4714e-052	5.70159e-055	2.01469e-057	6.51187e-060	1.93087e-062	5.26672e-065	1.32496e-067	3.08322e-070	7.42627e-073	
N2	0.00160498	0.0037635	0.0112666	0.032326	0.0789179	0.154599	0.228065	0.235475	0.160466	0.070044	0.019491	0.00351683	0.000419776	3.96681e-005	3.04932e-006	1.23203e-006	1.45403e-007	9.24903e-008	7.43002e-009	3.14754e-009	1.64699e-010	4.54802e-011	1.56883e-012	2.8059e-013	6.50917e-015	7.55755e-016	1.20421e-017	9.23692e-019	1.02886e-020	5.41365e-022	4.26017e-024	1.61287e-025	9.25314e-028	3.06012e-029	1.29757e-031	3.89792e-033	3.12073e-035	3.17463e-036	1.17385e-038	4.44245e-040	4.76873e-042	4.28742e-043	1.74764e-045	1.02843e-046	9.12333e-048	
N3	0.00337666	0.00811168	0.020485	0.0409554	0.0660444	0.10059	0.149696	0.189705	0.183788	0.131337	0.0687127	0.0267631	0.00781792	0.0019581	0.000424804	0.000159014	4.48397e-005	2.27333e-005	5.22738e-006	1.94008e-006	3.11809e-007	7.99189e-008	8.86336e-009	1.58304e-009	1.21573e-010	1.54833e-011	8.31678e-013	7.78716e-014	2.97382e-015	2.13147e-016	5.88579e-018	3.35312e-019	7.04608e-021	3.61041e-022	6.12163e-024	2.95809e-025	5.84302e-027	3.96846e-028	6.67499e-030	3.37366e-031	7.33501e-033	4.64222e-034	1.0779e-035	7.32379e-037	6.42999e-038	
N4	6.24413e-005	0.000219991	0.000743872	0.00157735	0.0022446	0.00375794	0.00890016	0.0228314	0.0536695	0.106274	0.166245	0.202683	0.182013	0.129428	0.0671471	0.0339878	0.0121373	0.00470835	0.00107058	0.000257788	3.44146e-005	4.98025e-006	4.03569e-007	3.7059e-008	1.93008e-009	1.19901e-010	4.21515e-012	1.86737e-013	4.63443e-015	1.546e-016	2.80076e-018	7.31468e-020	1.02417e-021	2.28316e-023	2.58532e-025	5.03923e-027	5.30513e-029	1.05056e-030	1.00117e-032	1.75571e-034	1.82222e-036	3.6371e-038	5.0679e-040	1.2532e-041	3.89911e-043	
N5	1.72039e-005	8.33262e-005	0.000381266	0.000887371	0.000988807	0.00116719	0.00347186	0.0120356	0.033878	0.075956	0.138249	0.202012	0.221068	0.171059	0.091314	0.035109	0.00983665	0.00211283	0.000329037	3.9352e-005	3.30398e-006	2.27755e-007	1.07085e-008	5.3345e-010	1.61046e-011	8.48611e-013	1.92459e-014	1.03558e-015	1.76286e-017	7.5677e-019	9.49584e-021	3.05949e-022	2.90276e-024	7.21633e-026	5.31983e-028	1.05078e-029	6.34914e-032	1.05731e-033	5.31808e-036	7.40193e-038	3.2267e-040	3.96494e-042	1.66751e-044	2.24003e-046	3.07973e-048	
N6	5.03145e-008	7.70048e-007	7.32212e-006	1.57375e-005	6.62542e-006	2.53566e-006	1.04936e-005	0.000158053	0.00194372	0.0154984	0.0758333	0.214322	0.32445	0.249543	0.0962288	0.019577	0.00223612	0.000159303	7.35119e-006	2.5046e-007	5.8464e-009	1.28053e-010	1.85201e-012	3.87064e-014	4.20417e-016	8.00321e-018	6.23494e-020	8.72046e-022	4.79958e-024	4.817e-026	1.91887e-028	1.40724e-030	4.14605e-033	2.2673e-035	5.02087e-038	2.08772e-040	3.54851e-043	1.152e-045	1.52793e-048	3.93923e-051	4.1798e-054	8.89576e-057	8.50331e-060	1.96647e-062	4.87552e-065	
N7	1.9272e-011	6.58245e-010	1.41648e-008	6.29117e-008	4.33823e-008	1.47813e-008	4.16975e-008	1.59503e-006	6.25782e-005	0.00144851	0.0177931	0.1077	0.298958	0.357223	0.176739	0.0365624	0.00335993	0.000148716	3.43178e-006	4.64027e-008	4.1268e-010	6.3064e-012	7.46694e-014	2.04041e-015	1.60397e-017	2.49146e-019	1.12629e-021	1.00351e-023	2.73096e-026	1.46885e-028	2.4955e-031	8.43309e-034	9.22619e-037	2.03299e-039	1.4743e-042	2.20623e-045	1.09014e-048	1.16004e-051	4.00619e-055	3.17137e-058	7.85051e-062	4.87723e-065	1.0984e-068	1.07485e-071	1.56353e-074	
N8	1.08613e-011	1.97961e-010	2.46697e-009	1.03588e-008	1.30948e-008	1.50647e-008	5.43226e-008	1.37568e-006	5.23241e-005	0.00122143	0.0154452	0.0978637	0.287405	0.364011	0.189247	0.0406637	0.00390028	0.000183785	4.65086e-006	6.85432e-008	6.33386e-010	6.71137e-012	1.06005e-013	2.7434e-014	5.00107e-016	9.90229e-017	1.06947e-018	1.38501e-019	9.02069e-022	7.78465e-023	3.14361e-025	1.80811e-026	4.71355e-029	1.78356e-030	3.15508e-033	7.74791e-035	9.77131e-038	1.55813e-039	1.45647e-042	1.54189e-044	1.09529e-047	8.02706e-050	4.468e-053	2.87589e-055	3.18165e-057	
N9	1.28164e-014	9.05394e-013	6.76462e-011	2.07313e-009	6.21915e-009	2.87261e-009	8.2103e-010	6.09869e-009	5.59055e-007	3.58077e-005	0.00123838	0.0208741	0.151682	0.407253	0.33523	0.0772433	0.00622675	0.000213269	3.58858e-006	3.3208e-008	1.85534e-010	9.72894e-013	6.52206e-015	1.91925e-016	1.64121e-018	3.41087e-020	1.82399e-022	2.25314e-024	7.64217e-027	5.8592e-029	1.2813e-031	6.29254e-034	9.04803e-037	2.92138e-039	2.83144e-042	6.20513e-045	4.15519e-048	6.46264e-051	3.05425e-054	3.55554e-057	1.20968e-060	1.11734e-063	3.21418e-067	4.2389e-070	9.02694e-073	
N10	4.24608e-019	3.16944e-016	1.39323e-013	1.59622e-011	2.60344e-011	2.46888e-012	1.07676e-013	2.67362e-013	1.81778e-010	8.17507e-008	1.7881e-005	0.00163746	0.0508956	0.394229	0.483303	0.0679732	0.00192708	1.67833e-005	5.84277e-008	9.6765e-011	8.61718e-014	4.77201e-017	2.19164e-020	7.47981e-023	1.04443e-025	5.49432e-028	4.77482e-031	1.43694e-033	7.64181e-037	1.38017e-039	4.5055e-043	5.03867e-046	1.01533e-049	7.10746e-053	9.05351e-057	3.97377e-060	3.32603e-064	9.35264e-068	5.32465e-072	1.01666e-075	4.02892e-080	5.62691e-084	1.65795e-088	2.42204e-092	5.17481e-096	
N11	5.3938e-020	2.5214e-017	6.13635e-015	2.96721e-013	2.94488e-013	2.54412e-014	6.75724e-015	1.26709e-013	8.97546e-011	4.45282e-008	1.1071e-005	0.00117837	0.0428745	0.37933	0.502261	0.0722459	0.00208019	1.85064e-005	6.66328e-008	1.15821e-010	1.0981e-013	6.26802e-017	2.66913e-020	3.73918e-022	1.52391e-024	6.97306e-026	1.80503e-028	4.76642e-030	7.5633e-033	1.21623e-034	1.09197e-037	1.11223e-039	5.06972e-043	3.24008e-045	7.14432e-049	2.50725e-051	3.07842e-055	4.82763e-058	3.95788e-062	3.22379e-065	1.83389e-069	9.66547e-073	3.94925e-077	2.25666e-080	3.95118e-083	
N12	1.01113e-020	2.02427e-018	2.53394e-016	1.15987e-014	6.05626e-014	5.89482e-014	3.91188e-014	6.58176e-013	2.85733e-010	9.95506e-008	1.82337e-005	0.00151402	0.0461539	0.37395	0.501271	0.0746059	0.00245994	2.73675e-005	1.32072e-007	3.25067e-010	4.56226e-013	3.97524e-016	2.39594e-019	1.24081e-021	6.20788e-024	2.8902e-025	1.05485e-027	2.88395e-029	7.25175e-032	1.1948e-033	1.95464e-036	1.99005e-038	1.84516e-041	1.1687e-043	5.32283e-047	1.8871e-049	4.68317e-053	7.64454e-056	1.23631e-059	1.14567e-062	1.24894e-066	8.23495e-070	6.44961e-074	5.07399e-077	9.81141e-080	
