N25	0.000349044	0.000817058	0.00166288	0.00162034	0.00116369	0.00103964	0.00211935	0.00921385	0.040852	0.11542	0.198403	0.227115	0.204277	0.195946	
Hierodula_patellifera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Statilia_maculata	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mantis_religiosa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N26	0.0153374	0.0526027	0.100483	0.0691904	0.0437947	0.0957097	0.214665	0.251291	0.120554	0.0308154	0.00495209	0.000552233	4.73147e-005	4.32891e-006	
Harpagomantis_tricolor	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Miomantis_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N27	8.92665e-005	0.000112421	0.000211839	0.000425933	0.000863807	0.00175473	0.00356707	0.00718397	0.0146011	0.0296282	0.0603093	0.122668	0.249862	0.508722	
Creobroter_laevicollis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N28	8.85083e-005	0.000111753	0.000210927	0.000424523	0.000861682	0.00175177	0.00356343	0.00718147	0.0146017	0.0296364	0.0603279	0.122694	0.249873	0.508672	
N29	9.36128e-005	0.000117608	0.000221272	0.000444141	0.000896433	0.00180665	0.0036378	0.00726398	0.0146717	0.029676	0.0603432	0.122709	0.249828	0.50829	
Empusa_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Gongylus_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Hestiasula_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N30	8.99391e-005	0.000112605	0.000211663	0.000425395	0.000862873	0.00175346	0.00356579	0.00718379	0.0146049	0.0296406	0.0603335	0.122699	0.24987	0.508646	
N31	9.6799e-005	0.000121309	0.000226162	0.000448944	0.000900028	0.00181097	0.0036527	0.00731137	0.0147834	0.0298721	0.0605904	0.122877	0.249697	0.507613	
Deiphobe_sp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
