"i","asc1","desc1","asc2","desc2","pol1","pol2","dem1","dem2","tran12","tran21","lambda1","mu1","p"
4412,0.0371917388147568,0.00946358374717508,0.0144324978436206,0.00411958499039466,0.00349582132386431,0.0264447215403964,0.00470774054119584,0.0391716332060328,0.00574554806954565,1.215173744822e-09,0.033933641193144,0.0178454863734668,-208.842037395834
4677,0.0485656453587789,0.0156045005502974,0.0307136004010516,0.0565981826049377,0.000836304796610073,0.055646099442508,0.00732442574532562,0.0247866964366626,0.0074999107696619,2.11489185505126e-09,0.0228714672553373,0.00520434845264328,-207.823278448245
3828,0.0526838220002301,0.0138007586558778,0.0393294548573029,0.00658112443283876,0.00109818402237648,0.0489937371632447,0.00384733378529558,0.0277463396352747,0.00828303499715265,5.87286278174242e-08,0.0227693273939657,0.00906228198588143,-205.870350822662
2663,0.0573440647989399,0.00991294395851145,0.0579320615686159,0.0212243581784997,0.00221332446608096,0.0202980767576103,0.00235130951824727,0.0292551582518128,0.00912523433679388,3.83149563254955e-08,0.023724725427928,0.00386061843735887,-206.507560085551
4603,0.0409464353042582,0.00166592603890684,0.0272324935377021,0.0236360963560897,0.00144893994291357,0.03258188190155,0.00955833149332919,0.0185885617307594,0.0105407818523125,2.95440986218086e-08,0.0330165071472351,0.00709364903069233,-210.157110970573
4139,0.0549602031449431,0.0175592091464282,0.00817502289782799,0.0440707245793624,0.00406719315061455,0.0105458791479449,0.0035935124889825,0.0181347892343987,0.00902954138981369,5.91269211349269e-08,0.0224614664816455,0.00829581758827727,-208.592576701826
4545,0.0509353420300159,0.00505991943639593,0.00206812341330077,0.00963164064315395,0.00175849285361693,0.0254308632960854,0.00868986422034045,0.0254502141413547,0.0132055093822254,4.5904757348923e-10,0.0257928267850735,0.00650123759072102,-209.516151869825
3431,0.0509487761452115,0.00961269845036264,0.0334785573963836,0.0299232287526715,0.0043234642357173,0.0344715626592324,0.00951068618005803,0.0361847536030671,0.00524171219892744,2.98378062370248e-08,0.0249343115251745,0.00596557381138106,-208.448800906446
2843,0.0355132470164619,0.0179345605378967,0.0267633120142109,0.0407273255215885,0.00612868740610817,0.0233567468254097,0.00386544902057729,0.034367388553224,0.00367969343766483,1.92985687871012e-08,0.0267952632177835,0.00726946046716571,-209.92595953548
4790,0.0465776801490003,0.00760127483339821,0.0421303406502202,6.24496866971287e-05,0.00582615584250088,0.0190950920118415,0.00308107192063751,0.0232996584284918,0.0048357808118256,1.76064501779234e-08,0.0148740719482609,0.000302108527342294,-208.385435951612
4527,0.0376759454451859,0.0331672499765373,0.0193131118524547,0.0465307826270665,0.00171204807440807,0.0291704599434,0.00493939022114674,0.0476009001179386,0.00642546552364198,2.38430643014718e-08,0.0325898798885517,0.0199847738945668,-209.667260565171
3958,0.0486769123777008,0.020706689201332,0.0235673276421041,0.0966520911620249,0.00637748486655487,0.0459951301410854,0.00633590620376795,0.0268561895548095,0.00699468066796048,1.30248224986327e-09,0.033787825036577,0.00291182708014316,-216.036826009752
4172,0.0532098567432222,0.0242190770297888,0.0230087093611787,0.0110520443401425,0.00303918735599289,0.0289530824130193,0.00462846645433801,0.0309648799493137,0.010755439187613,5.91389048830554e-08,0.0244719013544651,0.00261603870622167,-205.080115166711
2605,0.0551583184740805,0.0331371603736346,0.0357922964685673,0.00870046147949935,0.00272847203944048,0.0241436578860088,0.00319485307342741,0.0151715806650187,0.00447404822297209,7.85205572753578e-09,0.0183556419360298,0.000877577508982909,-205.969478992373
4381,0.0489681232586478,0.0144968328801188,0.0110664491651373,0.00548570678685383,0.00178025315045805,0.0507989023678413,0.0114006388835847,0.0102963851042704,0.00822310136583507,1.60736200337199e-08,0.0241551348390604,0.00798081413783327,-208.567538294158
3923,0.0390019334603121,0.00570172018148001,0.0491350310130142,0.0432732237478813,0.00175138261104215,0.0349915382668034,0.0016300425136537,0.00512298140851288,0.00836512501603805,2.27343387959682e-08,0.0233547619682319,3.40658838108845e-06,-211.038104844344
3476,0.0339811029188503,0.0329812285935114,0.0228828310567217,0.0176574917363358,0.00477082923737823,0.0430574463415074,0.00642672794534992,0.0085250435859165,0.0055072308178101,5.82512111742783e-08,0.0306954625608066,0.0122326772707591,-209.409512709851
4816,0.033019232379843,0.0425122448504217,0.0487191875313372,0.0129958857987844,0.0018546234559076,0.0419021353329079,0.00675363055150467,0.0234626659895407,0.00731568673845044,5.72162659801146e-08,0.0288126009403346,0.0227580356359422,-211.857472839228
