NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
N10	0.000794509	0.00107293	0.00195964	0.0042464	0.00992811	0.0229685	0.0485387	0.0885916	0.135033	0.169839	0.174579	0.146623	0.100308	0.0561456	0.0256876	0.00968881	0.00300873	0.000780889	0.000168529	3.11814e-005	4.86669e-006	6.89852e-007	8.45542e-008	1.06406e-008	1.17392e-009	1.50409e-010	1.57136e-011	1.93212e-012	1.79296e-013	1.93796e-014	1.58532e-015	1.52967e-016	1.20224e-017	1.10094e-018	8.93517e-020	1.06561e-020	
Periplaneta_americana	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Periplaneta_brunnea	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	8.27258e-005	6.2642e-005	0.000126707	0.000969268	0.00827978	0.0485365	0.168304	0.310257	0.282168	0.135829	0.0378734	0.00665832	0.000783749	6.51789e-005	3.96314e-006	1.82865e-007	6.52482e-009	1.85826e-010	4.25703e-012	8.13321e-014	1.29116e-015	1.7988e-017	2.1516e-019	2.41857e-021	2.40294e-023	2.3989e-025	2.11977e-027	1.93139e-029	1.53161e-031	1.24897e-033	8.87585e-036	6.42662e-038	4.12392e-040	2.64328e-042	1.52215e-044	9.53274e-047	
Periplaneta_australasiae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Periplaneta_fuliginosa	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deropeltis_erythrocephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.0150737	0.0149814	0.0165864	0.0199282	0.025249	0.0328841	0.0430888	0.0557711	0.0694642	0.0831236	0.0936128	0.099345	0.0978006	0.0897621	0.0758192	0.0594475	0.0427221	0.0285027	0.0173931	0.00989398	0.00514132	0.00251353	0.00112111	0.000478609	0.000186119	7.13676e-005	2.48669e-005	8.95527e-006	2.93914e-006	1.06343e-006	3.58535e-007	1.39569e-007	5.18402e-008	2.16691e-008	9.30997e-009	5.73542e-009	
N13	0.00300742	0.00363539	0.00532954	0.00842702	0.0137874	0.0235782	0.0415134	0.0705779	0.107173	0.141586	0.157876	0.149199	0.117855	0.0787792	0.0441058	0.0210343	0.00845681	0.00293048	0.000863787	0.000223096	4.95278e-005	9.84923e-006	1.70308e-006	2.71536e-007	3.8147e-008	5.11905e-009	6.13841e-010	7.27789e-011	7.81287e-012	8.45066e-013	8.33117e-014	8.22169e-015	7.39956e-016	6.52874e-017	5.36306e-018	5.93371e-019	
Eurycotis_floridana	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pelmatosilpha_sp	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Periplaneta_japonica	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lamproblatta_albipalpus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.093317	0.0854087	0.0809229	0.0785232	0.0770661	0.0756925	0.073855	0.0712829	0.0664774	0.0610175	0.0537187	0.046297	0.0378513	0.0301635	0.0225043	0.0163973	0.011031	0.00736261	0.00447133	0.00280538	0.00157243	0.000976885	0.000524348	0.000336048	0.000176497	0.000115127	5.80141e-005	3.66023e-005	1.73443e-005	1.03471e-005	4.66537e-006	2.7238e-006	1.32644e-006	8.85941e-007	6.04104e-007	6.1095e-007	
N15	0.0594368	0.0564791	0.056986	0.0594295	0.0624968	0.0652349	0.0671708	0.068288	0.0670073	0.0653937	0.0617581	0.0580258	0.052309	0.0465899	0.0392582	0.0324973	0.0251201	0.0190874	0.0134078	0.00932984	0.00595073	0.00380627	0.00220994	0.00130339	0.000691696	0.000377128	0.000183642	9.28433e-005	4.20951e-005	2.00407e-005	8.69796e-006	3.99899e-006	1.73297e-006	8.09353e-007	3.94671e-007	2.62002e-007	
N16	0.03117	0.0323474	0.0374337	0.0450758	0.053587	0.0610793	0.0661523	0.0685975	0.0673951	0.06605	0.0635719	0.0624036	0.059711	0.0572577	0.051827	0.0461499	0.0377723	0.0303192	0.02195	0.0157643	0.0100389	0.00648741	0.0036388	0.00213305	0.00105994	0.000568346	0.000250688	0.000122972	4.86244e-005	2.20868e-005	8.11953e-006	3.59063e-006	1.39382e-006	6.75419e-007	3.34718e-007	2.47829e-007	
N17	0.0101264	0.0109491	0.01374	0.018634	0.0256028	0.0340723	0.0429028	0.0507963	0.0549819	0.0573066	0.0569478	0.0582109	0.0593949	0.0636424	0.0654419	0.0680496	0.0639948	0.0603888	0.0497375	0.0422544	0.0303507	0.0235485	0.0148118	0.0105713	0.00585811	0.00383768	0.00186107	0.00109657	0.0004663	0.000246443	9.35173e-005	4.58174e-005	1.78422e-005	9.54967e-006	5.09326e-006	4.32122e-006	
N18	3.38808e-005	4.95129e-005	9.49311e-005	0.000214744	0.000501095	0.00108947	0.00209151	0.00348097	0.00497066	0.00645358	0.00793759	0.010204	0.0140334	0.0208703	0.0311596	0.0461684	0.0637473	0.083938	0.0995009	0.111593	0.110488	0.104564	0.086063	0.069132	0.0476196	0.0327745	0.0190389	0.0112868	0.00562238	0.00291742	0.00129408	0.000607843	0.000255328	0.000115615	5.34466e-005	3.50484e-005	
N19	1.14421e-005	1.62001e-005	3.15606e-005	7.15998e-005	0.000167317	0.000372281	0.000755631	0.00137963	0.0022772	0.00351157	0.00520468	0.00765198	0.0112944	0.0169111	0.0254641	0.0380471	0.0547262	0.0745908	0.0942008	0.10987	0.116383	0.11297	0.0986663	0.0793986	0.0571086	0.0385748	0.0229874	0.0134227	0.00671646	0.00359603	0.00155474	0.000842432	0.000362617	0.000274723	0.000236057	0.000349742	
N20	7.48414e-006	1.05968e-005	2.06272e-005	4.57271e-005	0.000102392	0.000218482	0.000435444	0.000814679	0.00145536	0.0025281	0.00428257	0.00704751	0.0112111	0.0172982	0.0259849	0.03804	0.0537373	0.0724385	0.0917505	0.107939	0.116475	0.114644	0.10214	0.082432	0.0599532	0.0395784	0.0235924	0.0129289	0.00647624	0.00311213	0.00144784	0.000739996	0.000419758	0.000285642	0.000211834	0.000194219	
N21	3.99684e-007	8.60685e-007	2.65898e-006	8.17404e-006	2.15678e-005	4.72076e-005	9.19108e-005	0.000188446	0.000450225	0.00115651	0.00286778	0.00656487	0.0136701	0.025862	0.0445058	0.0698791	0.0996543	0.127852	0.145167	0.143828	0.122706	0.089571	0.0556426	0.0294519	0.0132825	0.00514139	0.00171588	0.000501428	0.000129734	3.05236e-005	6.62463e-006	1.36222e-006	2.64739e-007	4.93321e-008	9.03185e-009	2.19432e-009	
N22	6.63616e-008	1.69728e-007	6.32175e-007	2.16954e-006	5.88529e-006	1.3268e-005	3.01282e-005	7.89762e-005	0.000230802	0.000706029	0.00215299	0.00619672	0.0160217	0.0360357	0.0691859	0.112128	0.152127	0.171747	0.160585	0.124071	0.0791534	0.0417803	0.018306	0.00669748	0.00205929	0.000536995	0.000119701	2.30656e-005	3.86817e-006	5.73364e-007	7.58462e-008	9.48756e-009	1.23497e-009	2.06343e-010	4.42159e-011	1.41631e-011	
N23	3.72037e-008	8.80475e-008	2.94727e-007	9.21692e-007	2.55487e-006	7.14619e-006	2.19519e-005	7.30246e-005	0.000260533	0.000968364	0.00346255	0.0109699	0.0292073	0.0636254	0.11207	0.159017	0.181867	0.168237	0.12657	0.0780254	0.0397936	0.0170002	0.00617652	0.00194166	0.00053616	0.000131211	2.83821e-005	5.38744e-006	8.83831e-007	1.26914e-007	1.60388e-008	2.37501e-009	5.63319e-010	2.46439e-010	1.06011e-010	5.74268e-011	
