N10	4.96108e-031	1.53124e-032	2.91057e-027	6.72625e-022	8.50856e-017	5.30188e-012	1.36515e-007	0.0010377	0.997596	0.00136592	2.36655e-007	1.21114e-011	2.5659e-016	2.68515e-021	1.54327e-026	5.30202e-032	1.85766e-037	1.12081e-040	4.23876e-045	4.75342e-048	6.3531e-047	5.71544e-045	3.7198e-047	3.42743e-048	1.79513e-050	1.0575e-051	5.71637e-054	1.8089e-052	5.58061e-049	1.04356e-044	2.08765e-042	2.17218e-039	7.25693e-038	7.72379e-036	4.41635e-037	4.2182e-037	7.2991e-038	8.53021e-037	1.00094e-035	
N11	2.99415e-032	1.01881e-032	1.99409e-027	4.60441e-022	6.08408e-017	4.08294e-012	1.14967e-007	0.000956168	0.997739	0.00130416	2.13094e-007	1.02548e-011	2.06612e-016	2.11078e-021	1.2324e-026	4.47723e-032	1.49333e-037	6.53873e-040	1.01574e-043	8.68254e-046	9.18501e-050	4.64107e-052	3.51177e-056	1.06438e-058	5.94945e-063	1.07092e-065	4.42473e-070	4.57368e-073	1.15917e-077	6.70105e-081	6.23198e-087	1.79178e-091	9.55855e-098	1.65786e-102	5.21455e-109	6.88253e-114	7.32968e-120	2.7209e-123	8.20156e-127	
Amitermes_darwini	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amitermes_germanus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	6.51889e-039	5.41571e-038	3.35372e-034	8.16299e-028	2.9191e-021	3.67323e-015	1.37921e-009	0.000122295	0.999662	0.000215934	3.98891e-009	1.7177e-014	2.30624e-020	1.1292e-026	2.65405e-033	5.71863e-038	9.19036e-042	5.3484e-042	8.71358e-044	1.38965e-043	1.869e-045	2.0366e-045	2.31365e-047	1.72568e-047	1.66095e-049	8.38391e-050	6.35999e-052	2.16032e-052	8.85527e-055	2.12413e-055	3.08072e-059	3.77622e-061	3.95291e-065	2.46959e-067	1.78145e-071	8.6598e-074	1.6433e-077	3.76174e-078	8.1146e-079	
Amitermes_parvus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	1.60243e-035	6.30094e-038	3.4912e-034	1.31106e-027	4.33083e-021	4.91689e-015	1.61908e-009	0.000128517	0.999651	0.000220529	4.3981e-009	2.11475e-014	3.14834e-020	1.68053e-026	9.33418e-033	1.71313e-036	3.93947e-040	7.01393e-044	9.86435e-048	1.16295e-051	1.05895e-055	6.68289e-058	3.39457e-062	2.32972e-063	7.02985e-068	2.22524e-069	1.08772e-072	3.95823e-072	3.71048e-074	8.04803e-070	6.37128e-071	8.52973e-069	1.24484e-070	5.90811e-070	3.22258e-075	2.31395e-077	7.10239e-083	3.76202e-085	2.71272e-081	
N14	5.51316e-036	5.64884e-037	4.63213e-031	4.36274e-025	2.32365e-019	6.25432e-014	7.07126e-009	0.000237278	0.999445	0.000317502	1.26559e-008	1.49661e-013	7.43187e-019	1.86472e-024	2.64563e-030	2.2941e-036	1.83136e-042	2.40479e-045	9.06338e-050	1.99872e-052	4.63276e-057	5.3648e-060	7.73341e-065	4.56991e-068	4.02156e-073	1.12643e-076	5.70833e-082	6.54932e-086	1.59238e-091	5.56251e-096	1.93806e-103	9.25084e-110	2.79882e-118	2.75588e-037	5.04341e-039	4.96138e-039	6.378e-040	2.50538e-038	8.36826e-037	
Drepanotermes_septentrionalis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pericapritermes_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Odontotermes_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	1.96642e-030	3.60533e-028	4.09613e-023	3.84964e-018	1.87019e-013	3.91016e-009	2.48877e-005	0.017658	0.980191	0.00212554	6.00983e-007	5.00337e-011	1.73285e-015	3.02247e-020	2.99506e-025	1.83892e-030	1.07472e-035	8.58747e-038	2.23937e-041	3.16747e-043	5.62338e-047	4.68238e-049	5.95137e-053	2.9606e-055	2.77352e-059	8.1755e-062	5.47422e-066	9.38835e-069	3.2541e-073	3.35587e-076	5.14617e-082	3.03015e-086	2.82357e-092	8.92499e-097	5.02255e-103	1.18575e-107	1.75465e-113	1.15992e-116	6.75297e-120	
