NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	
N1	7.06051e-005	0.000153392	0.000519824	0.00212568	0.00873058	0.0314597	0.0896196	0.185342	0.259786	0.234522	0.131807	0.0452149	0.00938003	0.0011749	8.91853e-005	4.13409e-006	1.18239e-007	2.11253e-009	2.39053e-011	1.73876e-013	8.05335e-018	4.51805e-019	2.08002e-020	7.91929e-022	2.51243e-023	6.69093e-025	1.50641e-026	2.88679e-028	4.73946e-030	6.70767e-032	8.23181e-034	8.80887e-036	8.26301e-038	6.82836e-040	4.99462e-042	3.24812e-044	1.88597e-046	9.8161e-049	4.59703e-051	1.94399e-053	7.44824e-056	2.5938e-058	8.23487e-061	2.39133e-063	7.07226e-066	
N2	0.000143519	0.000376673	0.00132307	0.00460118	0.0144021	0.039097	0.0887675	0.160256	0.218207	0.215256	0.150373	0.0738747	0.025609	0.00635802	0.00114679	0.000172466	2.34258e-005	9.11399e-006	2.1069e-006	1.23572e-006	2.16066e-007	8.82138e-008	1.05718e-008	2.9364e-009	2.40796e-010	4.58196e-011	2.58779e-012	3.41949e-013	1.34397e-014	1.26066e-015	3.48698e-017	2.39375e-018	4.71487e-020	2.46438e-021	3.49566e-023	1.44978e-024	1.54274e-026	5.84707e-028	4.95762e-030	1.90684e-031	2.66472e-033	2.18803e-034	6.3616e-036	6.70228e-037	7.8655e-038	
N3	0.000554469	0.00137885	0.00406719	0.0102277	0.0208453	0.0373725	0.0653398	0.10944	0.158775	0.185941	0.170853	0.122394	0.0683105	0.0299839	0.0103699	0.00302068	0.00074845	0.000245966	7.45358e-005	3.92853e-005	1.14323e-005	4.97788e-006	1.07067e-006	3.37713e-007	5.25861e-008	1.20768e-008	1.3689e-009	2.33057e-010	1.94169e-011	2.50562e-012	1.55131e-013	1.55416e-014	7.24388e-016	5.79244e-017	2.05773e-018	1.34874e-019	3.75681e-021	2.14936e-022	4.85627e-024	2.56965e-025	6.31102e-027	4.82583e-028	2.72706e-029	3.24658e-030	4.79144e-031	
N4	4.25223e-006	2.10827e-005	0.000108912	0.000397663	0.00083316	0.00102503	0.00149239	0.00437341	0.0140027	0.0380014	0.0835944	0.146472	0.197808	0.203992	0.155131	0.091091	0.0397	0.0154452	0.00463339	0.00145971	0.000324014	7.61254e-005	1.16642e-005	1.90077e-006	2.00837e-007	2.31115e-008	1.73565e-009	1.46133e-010	8.05136e-012	5.14069e-013	2.13782e-014	1.07157e-015	3.47862e-017	1.43049e-018	3.75845e-020	1.3239e-021	2.95239e-023	9.4174e-025	1.84112e-026	5.50713e-028	1.11075e-029	3.88233e-031	1.18743e-032	5.26051e-034	2.81694e-035	
N5	6.8336e-007	3.04148e-006	1.56284e-005	5.54163e-005	0.000115544	0.000200831	0.000603549	0.00239868	0.00842287	0.0245927	0.0595456	0.117899	0.183899	0.217518	0.187626	0.11778	0.0533837	0.0190277	0.00521997	0.00136048	0.000261149	6.02934e-005	7.77757e-006	1.90624e-006	1.61809e-007	4.86102e-008	2.94647e-009	9.4193e-010	4.47584e-011	1.28961e-011	5.12715e-013	1.30058e-013	4.64034e-015	1.07863e-015	3.54539e-017	7.41321e-018	2.16773e-019	3.90995e-020	9.61975e-022	1.43457e-022	3.01304e-024	3.94384e-025	7.64728e-027	1.07665e-027	1.17856e-028	
N6	5.18025e-008	4.17519e-007	3.62932e-006	1.68428e-005	3.31506e-005	3.96028e-005	0.000110519	0.00062076	0.00305172	0.0121937	0.0399022	0.102861	0.194441	0.252447	0.2161	0.120562	0.0443003	0.0110741	0.00195661	0.000258099	2.62067e-005	2.17611e-006	1.46213e-007	8.72942e-009	4.29112e-010	2.02364e-011	7.59822e-013	2.83366e-014	7.95951e-016	2.28856e-017	4.8099e-019	1.08278e-020	1.76661e-022	3.19442e-024	4.16527e-026	6.01618e-028	6.26313e-030	7.06819e-032	5.78785e-034	5.0761e-036	3.35995e-038	2.50685e-040	1.69023e-042	1.46392e-044	1.41779e-046	
N7	6.0945e-010	9.61711e-009	1.22604e-007	5.37844e-007	7.08391e-007	6.90922e-007	2.92619e-006	3.6336e-005	0.000441743	0.00388972	0.023291	0.090124	0.213451	0.295932	0.234237	0.1058	0.02786	0.00444863	0.000451279	3.07195e-005	1.46052e-006	5.20741e-008	1.38201e-009	3.61727e-011	7.07416e-013	2.76462e-014	4.99185e-016	2.22309e-017	3.00775e-019	9.99299e-021	9.58951e-023	2.26157e-024	1.54982e-026	2.61934e-028	1.29923e-030	1.59901e-032	5.83144e-035	5.32314e-037	1.45149e-039	1.00255e-041	2.08387e-044	1.11889e-046	1.93045e-049	9.75222e-052	3.97805e-054	
N8	2.40828e-012	7.56996e-011	2.10616e-009	2.12281e-008	4.44285e-008	2.64912e-008	3.31683e-008	5.05902e-007	1.71693e-005	0.000398993	0.00548683	0.0419353	0.167288	0.327654	0.300544	0.12768	0.0260966	0.00273504	0.000157283	5.29618e-006	1.10491e-007	1.57023e-009	1.66634e-011	2.61879e-013	3.89083e-015	1.08435e-016	1.33453e-018	2.49922e-020	2.04162e-022	2.47201e-024	1.36868e-026	1.11129e-028	4.26221e-031	2.39819e-033	6.48943e-036	2.60921e-038	5.067e-041	1.50134e-043	2.1274e-046	4.79553e-049	5.04991e-052	9.01966e-055	7.78142e-058	1.42994e-060	2.81224e-063	
N9	2.93549e-015	2.62387e-013	1.94653e-011	5.32596e-010	2.00419e-009	1.09464e-009	3.31971e-010	2.90573e-009	2.6686e-007	1.74522e-005	0.000629434	0.01145	0.094963	0.319561	0.387315	0.159741	0.0246503	0.00161972	5.09569e-005	8.46812e-007	8.05687e-009	4.87049e-011	2.16187e-013	2.46536e-015	2.34901e-017	5.87042e-019	3.98288e-021	5.99738e-023	2.57236e-025	2.38803e-027	6.62863e-030	3.94855e-032	7.23604e-035	2.8535e-037	3.52485e-040	9.46075e-043	8.05566e-046	1.51693e-048	9.09791e-052	1.24643e-054	5.36929e-058	5.58894e-061	1.83999e-064	1.83064e-067	1.82843e-070	
