NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
N1	0.13387	0.130535	0.12413	0.115045	0.10378	0.090933	0.077178	0.0632392	0.0498399	0.037632	0.0271152	0.0185737	0.0120523	0.00738429	0.00425905	0.00230622	0.00116947	0.000554115	0.000244824	0.000100685	3.84799e-005	1.3648e-005	4.48704e-006	1.36619e-006	3.84971e-007	1.00359e-007	2.42054e-008	5.40442e-009	1.11866e-009	2.153e-010	3.87563e-011	6.60524e-012	1.09526e-012	1.60554e-016	7.3587e-017	4.43869e-017	
N2	0.140706	0.131773	0.121854	0.110923	0.099054	0.0865113	0.0737409	0.0612828	0.048949	0.0380453	0.0282798	0.0204511	0.0140603	0.00943681	0.00597911	0.00374108	0.00219094	0.0013032	0.000717522	0.000424336	0.000227794	0.000142179	7.71686e-005	5.18721e-005	2.85276e-005	1.99108e-005	1.079e-005	7.46251e-006	3.92422e-006	2.65877e-006	1.37707e-006	9.50176e-007	5.47441e-007	4.55064e-007	3.85418e-007	4.75441e-007	
N3	0.0869338	0.089322	0.0956132	0.101341	0.102708	0.0983907	0.0897606	0.0792637	0.0677462	0.0565002	0.0447583	0.0334881	0.0230342	0.0146319	0.00842397	0.00445288	0.00212675	0.000933798	0.000370842	0.000135951	4.52076e-005	1.39569e-005	3.92446e-006	1.03154e-006	2.48292e-007	5.62801e-008	1.17542e-008	2.32766e-009	4.27421e-010	7.47897e-011	1.21997e-011	1.90157e-012	2.782e-013	3.94071e-014	5.58623e-015	1.0847e-015	
N4	0.150242	0.146218	0.143738	0.138224	0.12567	0.105045	0.0791356	0.0530156	0.031212	0.0161042	0.00723338	0.00282775	0.000959096	0.00028285	7.24905e-005	1.62102e-005	3.16544e-006	5.42619e-007	8.17466e-008	1.08905e-008	1.28382e-009	1.34929e-010	1.2633e-011	1.06433e-012	8.03958e-014	5.5302e-015	3.4324e-016	1.97808e-017	1.0396e-018	5.31121e-020	2.58485e-021	1.3782e-022	7.734e-024	5.05239e-025	3.33353e-026	3.06852e-027	
Cryptocercus_primarius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cryptocercus_relictus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cryptocercus_punctulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.108756	0.103257	0.0980862	0.0928994	0.0873984	0.0813979	0.0748485	0.0678235	0.0596433	0.0514814	0.0428851	0.0349812	0.0274083	0.021024	0.0154349	0.011121	0.0076484	0.00518925	0.0033534	0.00215455	0.00131537	0.000806132	0.000467878	0.000275415	0.000153031	8.71396e-005	4.67406e-005	2.59777e-005	1.36668e-005	7.5498e-006	4.01106e-006	2.27763e-006	1.29124e-006	8.15159e-007	5.67193e-007	5.0318e-007	
N6	0.0475075	0.047669	0.050038	0.0539907	0.0589294	0.064288	0.0695123	0.0740413	0.0761822	0.0763785	0.0730839	0.0676451	0.0592173	0.0500052	0.03969	0.0304309	0.0218308	0.0152038	0.00986789	0.00626808	0.00369431	0.00215345	0.00115813	0.000623385	0.000307797	0.00015407	7.04019e-005	3.30778e-005	1.42309e-005	6.40283e-006	2.67977e-006	1.1947e-006	5.13932e-007	2.43631e-007	1.25414e-007	8.99091e-008	
N7	0.0220152	0.0229461	0.0258533	0.0306886	0.0374262	0.0459287	0.0558241	0.0664366	0.0758563	0.0835818	0.0872869	0.087268	0.081932	0.0732272	0.0609211	0.0480923	0.0350604	0.0242801	0.0154347	0.00938709	0.00521321	0.0028074	0.00137191	0.000662957	0.000288382	0.000127141	4.99102e-005	2.04174e-005	7.39606e-006	2.88608e-006	1.01268e-006	3.97596e-007	1.47382e-007	6.23031e-008	2.69143e-008	1.59893e-008	
N8	0.0179004	0.0188441	0.0217115	0.0266742	0.0339499	0.0436033	0.0553307	0.0682942	0.080567	0.0907028	0.0961938	0.0961438	0.0895037	0.0777518	0.062334	0.04632	0.0315616	0.0198791	0.0114423	0.00609769	0.00296566	0.00134328	0.000555053	0.000215947	7.66032e-005	2.60444e-005	8.05827e-006	2.45632e-006	6.80515e-007	1.93968e-007	5.09379e-008	1.47711e-008	4.18768e-009	1.40115e-009	4.9526e-010	2.47941e-010	
Blatta_orientalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
