NODE	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	
N1	1.40721e-012	1.89959e-010	6.64776e-008	1.2274e-005	0.000937415	0.0253665	0.207435	0.4507	0.260059	0.0514698	0.00390909	0.000109102	1.09836e-006	4.44107e-009	8.24412e-012	1.89472e-017	4.42214e-019	8.08636e-021	1.19543e-022	1.46586e-024	1.52266e-026	1.36305e-028	1.06615e-030	7.36695e-033	4.53588e-035	2.50534e-037	1.24804e-039	5.6318e-042	2.31066e-044	8.64817e-047	2.96157e-049	9.30588e-052	2.69031e-054	7.17426e-057	1.76915e-059	4.04396e-062	8.58865e-065	1.69948e-067	3.38038e-070	
N2	1.61675e-009	6.44708e-008	4.41794e-006	0.00019446	0.00467359	0.0536206	0.251237	0.409737	0.220676	0.0534491	0.00612197	0.000281754	4.21113e-006	2.78931e-008	1.28535e-010	6.8134e-013	1.23127e-014	5.2145e-015	2.18822e-016	7.23645e-017	2.41067e-018	5.45294e-019	1.32535e-020	2.07117e-021	3.22065e-023	3.55267e-024	3.11575e-026	2.39307e-027	1.19501e-029	5.95489e-031	2.03759e-033	7.46048e-035	2.76646e-037	1.16902e-038	4.53064e-041	1.22103e-042	2.94673e-045	1.13335e-046	7.20758e-048	
N3	6.20208e-009	4.89672e-008	4.62874e-006	0.000240178	0.00601313	0.0670562	0.298574	0.451119	0.164515	0.0120716	0.000396886	9.36809e-006	1.3775e-007	9.60422e-010	3.25328e-012	6.47482e-015	2.33819e-017	6.58768e-019	1.07811e-020	2.23833e-022	2.04977e-024	2.45626e-026	1.26178e-028	9.10139e-031	2.51505e-033	1.12199e-035	1.57018e-038	4.32807e-041	3.16264e-044	5.18888e-047	2.39951e-050	2.72081e-053	1.15443e-056	1.33469e-059	4.72023e-063	3.69646e-066	1.15984e-069	1.63619e-072	2.43474e-075	
N4	6.51497e-014	1.02078e-012	6.72795e-010	2.94677e-007	5.69077e-005	0.00422529	0.100704	0.570532	0.313209	0.0111671	0.00010472	4.22988e-007	1.05476e-009	1.25657e-011	4.0955e-014	1.26666e-015	2.33276e-018	4.02944e-020	3.69242e-023	3.75917e-025	1.79465e-028	1.12374e-030	2.96554e-034	1.15329e-036	1.80493e-040	4.31625e-043	4.33717e-047	6.38595e-050	4.4612e-054	4.28704e-057	2.20746e-061	1.50539e-064	5.95365e-069	3.07474e-072	9.82898e-077	4.37826e-080	5.69533e-084	1.55513e-086	3.73754e-089	
N5	2.47326e-021	1.16759e-021	1.14179e-017	1.01257e-013	4.50896e-010	8.56638e-007	0.000538673	0.0728204	0.917767	0.00885906	1.43156e-005	7.44411e-009	1.67938e-012	2.00984e-016	1.78294e-020	2.56891e-023	1.21018e-026	3.17419e-029	9.22023e-033	1.27959e-035	2.32027e-039	1.76743e-042	1.92223e-046	8.2187e-050	4.80718e-054	1.19367e-057	2.72679e-061	6.20421e-062	7.56304e-061	3.58413e-059	1.32812e-058	1.24322e-057	6.23647e-058	3.54013e-058	4.95466e-061	5.06563e-063	4.12944e-065	2.84334e-066	1.67347e-067	
N6	1.98997e-027	2.55426e-028	2.00943e-023	2.20302e-018	1.17635e-013	2.5454e-009	1.65145e-005	0.0182691	0.976439	0.00527277	2.50476e-006	2.77723e-010	1.09577e-014	1.94514e-019	1.80318e-024	2.26123e-029	3.38464e-033	3.06852e-035	4.56566e-039	2.16825e-041	1.90089e-045	5.03193e-048	2.44046e-052	3.84225e-055	8.6588e-060	2.10837e-060	1.715e-062	3.60867e-060	5.01804e-059	9.92093e-056	3.27181e-055	5.22075e-053	3.92343e-053	4.82268e-052	1.50927e-053	1.83018e-053	7.3049e-055	1.68041e-053	6.04994e-052	
N7	3.10335e-034	9.59211e-036	7.33155e-030	6.26487e-024	2.75183e-018	5.49311e-013	4.02017e-008	0.000704869	0.998735	0.00055966	3.30087e-008	5.12023e-013	3.05035e-018	8.49536e-024	1.24045e-029	1.04737e-035	1.42789e-041	1.04178e-044	1.62822e-049	6.96411e-049	7.44371e-044	1.19214e-038	1.26626e-038	3.57172e-037	3.56284e-037	7.72744e-036	6.41111e-036	1.04802e-034	3.17049e-035	4.20128e-034	2.27467e-035	3.83076e-035	1.60745e-036	1.68969e-036	5.34575e-038	5.24215e-038	4.05039e-039	8.86606e-038	2.12011e-036	
N8	3.10572e-034	1.40235e-033	5.93203e-028	2.14021e-022	4.11455e-017	3.7224e-012	1.28785e-007	0.00114795	0.997998	0.000853456	8.76591e-008	2.56775e-012	3.05123e-017	1.77224e-022	5.62958e-028	1.05307e-033	1.78645e-039	2.33186e-041	3.99067e-045	8.34828e-047	9.34712e-051	1.06355e-052	8.11925e-057	5.0984e-059	2.70606e-063	1.68161e-065	1.45268e-067	6.84179e-065	7.77075e-064	3.99525e-060	3.96869e-059	2.84614e-056	1.88656e-055	1.89005e-053	2.27907e-055	2.30982e-055	1.43744e-056	1.1939e-054	8.39289e-053	
N9	5.56636e-030	7.58963e-031	7.92355e-026	9.95306e-021	7.11406e-016	2.57443e-011	3.90652e-007	0.00175423	0.995872	0.00237292	7.12197e-007	6.30623e-011	2.33594e-015	4.37339e-020	4.65303e-025	3.07225e-030	1.92375e-035	3.91637e-038	5.07452e-042	1.6827e-044	1.37104e-048	2.47032e-051	1.29551e-055	1.24812e-058	4.21855e-063	2.06662e-066	4.46128e-071	1.31856e-071	2.33448e-064	2.42002e-056	9.00593e-051	1.31566e-044	2.03983e-040	3.52119e-036	1.48471e-037	1.43462e-037	2.24258e-038	3.70511e-037	5.8188e-036	
